Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P24870,GO:0051301;GO:0000086;GO:0007135;GO:0044772;GO:0010696;GO:0006468;GO:0000079;GO:1901673,GO:0005813;GO:0000307;GO:0005737;GO:0005634,GO:0016538;GO:0019901
P31787,GO:0001300;GO:0042761,GO:0005737;GO:0005829;GO:0005576;GO:0005634,GO:0008289;GO:0036042
Q08641,GO:0030488,GO:0005884;GO:0032432;GO:0005737;GO:0043332,GO:0051015;GO:0030674;GO:0052735
Q3E7B2,GO:0033617;GO:0070130,GO:0031305;GO:0005743;GO:0005751;GO:0005739,
P15202,GO:0001315;GO:0042744;GO:0042542;GO:0000302,GO:0005759;GO:0005782;GO:0005777,GO:0004096;GO:0020037;GO:0046872
P24869,GO:0051301;GO:0000086;GO:0044772;GO:0035308;GO:0045737;GO:0010696;GO:0006468;GO:0000079;GO:0032888,GO:0005935;GO:0005813;GO:0000307;GO:0005737;GO:0005634;GO:0005819;GO:0005816,GO:0016538;GO:0019901
P40451,GO:0007049,GO:0005737;GO:0000324;GO:0016021;GO:0005634;GO:0005774,
Q03783,GO:0000282,GO:0016021,
P40344,GO:0000045;GO:0000422;GO:0006501;GO:0032258;GO:0044805;GO:0034727;GO:0006612,GO:0005737;GO:0000153;GO:0005829;GO:0061908;GO:0000407,GO:0019776
P43635,GO:0005975;GO:0019629;GO:0006099,GO:0005759;GO:0005739,GO:0050440;GO:0004108
P38360,GO:0015691;GO:0006875;GO:0035434;GO:0046686;GO:0055085,GO:0005623;GO:0005887;GO:0005886;GO:0005839,GO:0005524;GO:0008551;GO:0005507;GO:0016787;GO:0070628
P38316,GO:0000045;GO:0000422;GO:0006501;GO:0032258;GO:0044805;GO:0034727;GO:0061739,GO:0034274;GO:0005829;GO:0000407;GO:0034045,GO:0019776;GO:0008047;GO:0031386
Q12168,GO:0030036;GO:0008152,GO:0009986;GO:0005737,GO:0042973;GO:0052861;GO:0052862
P53859,GO:0000467;GO:0006397;GO:0043628;GO:0070651;GO:0071042;GO:0071035;GO:0071038;GO:0070478;GO:0034427;GO:0070481;GO:0071051,GO:0005737;GO:0000177;GO:0000176;GO:0005730;GO:0005634,GO:0003723
P53841,,,
Q12734,GO:0031505;GO:0006357;GO:0070086,GO:0005829;GO:0005634,GO:0031625
Q8TGM5,,,
P47036,,GO:0016021,
Q12135,,GO:0016021,
P38811,GO:0006281;GO:0016573;GO:0045944;GO:0006355,GO:0070209;GO:0035267;GO:0005634;GO:0000124;GO:0046695,GO:0003712
Q06695,,,
P38171,,,
Q12148,,,
Q08439,,,
Q08428,,GO:0016021,
Q8TGQ0,,GO:0016021,
Q08411,,,
Q8TGN2,,,
P36140,,,
P0CL23,,,
A0A023PXE5,,,
P87264,,GO:0016021,
P38808,,,
P0C5N2,,,
P00163,GO:0009060;GO:0006122,GO:0009535;GO:0031305;GO:0005750;GO:0005739,GO:0045153;GO:0046872;GO:0008121
Q08651,GO:0006624;GO:0007033,GO:0016021;GO:0005811;GO:0005739;GO:0005773,GO:0016491
Q05790,GO:0030476;GO:0005975;GO:0006037;GO:0031505,GO:0005619;GO:0009277;GO:0000324,GO:0016810;GO:0004553;GO:0016757
P40581,GO:0034599,GO:0005829;GO:0005758;GO:0005739;GO:0005782,GO:0004602;GO:0004601;GO:0051920;GO:0047066
P0CF35,GO:0042183,GO:0005829,GO:0008863;GO:0051287
Q7LHD1,,GO:0031225;GO:0005576;GO:0009277,
P32785,GO:0071951,GO:0005759;GO:0005739,GO:0004479
P21705,GO:0000256;GO:0001080,GO:0005634,GO:0003700;GO:0043565
P06106,GO:0019344;GO:0006555;GO:0019346,GO:0005737;GO:0005886,GO:0004124;GO:0003961;GO:0030170
P39722,GO:1990456;GO:0000001;GO:0007005;GO:0055091;GO:0010821;GO:0007266,GO:0032865;GO:0031307;GO:0005741;GO:0005739,GO:0005509;GO:0003924;GO:0005525
Q8TGM7,,,
P42835,GO:0007049;GO:0000920,GO:0031225;GO:0030428;GO:0005933;GO:0005576;GO:0009277;GO:0000324,GO:0008810
P25559,GO:0006974;GO:0006260;GO:0035753;GO:0034088;GO:0007064;GO:0006275,GO:0000785;GO:0000775;GO:0031390;GO:0005654,
Q08347,GO:0018909,,GO:0018741;GO:0004065;GO:0046872;GO:0046983
O13558,,,
P41902,GO:0010038,GO:0005737,GO:0005507
P24871,GO:0051301;GO:0000086;GO:0044772;GO:0010696;GO:0006468;GO:0000079;GO:1901673,GO:0005813;GO:0000307;GO:0005737;GO:0005634,GO:0016538;GO:0019901
P26448,GO:0090630;GO:0006886;GO:0031578;GO:1902543;GO:0031030,GO:1990334;GO:0005737;GO:0044732;GO:0000922;GO:0005816,GO:0005096;GO:0017137
P32781,GO:0000752,GO:0005783;GO:0009277;GO:0000324,GO:0050839
P53246,GO:0006624;GO:0007033,GO:0005634;GO:0005773,GO:0003677;GO:0046872
P38068,GO:0045454;GO:0034599,GO:0005623;GO:0005801;GO:0000324;GO:0005794;GO:0005796;GO:0016021,GO:0051537;GO:0009055;GO:0004362;GO:0046872;GO:0015035
P08004,GO:0071555;GO:0006031;GO:0000920,GO:0071944;GO:0030428;GO:0045009;GO:0016021;GO:0005886,GO:0004100
P19414,GO:0000002;GO:0006099,GO:0005829;GO:0005758;GO:0005759;GO:0042645;GO:0005739,GO:0051539;GO:0003994;GO:0003690;GO:0046872;GO:0003697
P21951,GO:0006284;GO:0006287;GO:0006261;GO:0045004;GO:0006302;GO:0006303;GO:0042276;GO:0035822;GO:0070868;GO:0031573;GO:0006272;GO:0000278;GO:0033314;GO:0007064;GO:0006297,GO:0008622;GO:0005657,GO:0051539;GO:0003677;GO:0003887;GO:0003690;GO:0003729;GO:0000166;GO:0008310;GO:0003697;GO:0008270
P53979,,GO:0016021,
P53902,,,
Q08419,,,
P38726,,GO:0016021,
P53884,,GO:0016021,
O13584,GO:0006623,GO:0016021,
P53726,,GO:0016021,
Q02792,GO:0000448;GO:0006397;GO:1901408;GO:0034244;GO:0071028;GO:0071035;GO:0006364;GO:0043144;GO:0030847;GO:0030846,GO:0005739;GO:0005634,GO:0004534;GO:0003729;GO:0019843
P38735,GO:0010038;GO:0055085;GO:1990961,GO:0000329;GO:0016021;GO:0016020;GO:0005739,GO:0016887;GO:0042626;GO:0008559;GO:0005524
P53887,,,
P32475,,,
A0A023PXL1,,GO:0016021,
P43541,,,
Q12225,,GO:0016021,
A0A023PZ99,,GO:0016021,
A0A023PZE6,,GO:0016021,
P36098,,GO:0016021,
Q07790,,GO:0016021,
P50083,,GO:0016021,
Q08240,,GO:0016021,
A0A023PXA5,,,
Q8TGJ8,,,
P53967,,,
P39703,,,
P23561,GO:0000186;GO:0034605;GO:0000196;GO:0001403;GO:0000161;GO:0007232;GO:0000750;GO:0071507;GO:0006468;GO:0007124;GO:0010525;GO:0001402,GO:0005737,GO:0005524;GO:0042802;GO:0004709;GO:0004672;GO:0032093
P87263,,,
O13562,,GO:0016021,
P47105,,,
P40891,,,
P47091,,GO:0016021,
A0A023PZL7,,,
P0CL41,,GO:0016021,
A0A023PYK2,,GO:0016021,
Q05503,,GO:0016021,
P36065,,,
O13523,,GO:0016021,
P53069,,GO:0016021,
Q08903,,,
A0A023PZH9,,,
P87273,,GO:0016021,
Q04434,,,
O13564,,,
P0C5M3,,GO:0016021,
A0A023PXD9,,GO:0016021,
P0CF22,GO:0006094;GO:0009069,GO:0005737,GO:0003941
A0A023PXN9,,GO:0016021,
P38173,,GO:0016021,
P53263,,,
P47021,,,
Q8TGQ4,,,
P0CX90,,,
P53105,,,
Q99401,,GO:0016021,
Q08741,,GO:0016021,
Q12147,,GO:0016021,
P47188,,,
A0A023PZE1,,GO:0016021,
Q12744,,,
P0C5N5,,,
Q03886,,,
P87285,,GO:0016021,
P0CE97,,,
Q08756,GO:0000282;GO:0030447,,
P43566,,GO:0016021,
Q08811,,GO:0016021,
Q08842,,,
P0CL39,,GO:0016021,
Q12448,,,
A0A023PXL7,,GO:0016021,
A0A023PXH9,,GO:0016021,
P53948,,,
O13522,,GO:0016021,
P0CL37,,GO:0016021,
P53205,,,
P53247,,GO:0016021,
P53957,,,
P53820,,,
P89495,,,
Q6B113,,,
P53928,,GO:0016021,
A0A023PZA4,,,
P53160,,GO:0016021,
A0A023PXP7,,,
P21576,GO:0030036;GO:0051301;GO:0006897;GO:0060988;GO:0051321;GO:0016559;GO:0007031;GO:0045053;GO:0006623;GO:0007034,GO:0030479;GO:0005623;GO:0005737;GO:0005829;GO:0000329;GO:0005770;GO:0016020;GO:0005874;GO:0005741;GO:0005739;GO:0005777,GO:0003924;GO:0005525;GO:0008017
P53936,,,
P0CX89,,,
P0C5M6,,,
P47028,,GO:0016021,
Q08953,,,
A0A023PZK4,,,
P53087,,GO:0016021,
Q03904,,GO:0016021,
P87274,,GO:0016021,
O13533,,GO:0016021,
P0C5B8,,GO:0016021,
Q12281,,,
Q8TGP7,,,
P40588,,,
A0A023PXH5,,,
P0CI66,GO:0000128,,
P39566,,,
A0A023PXI4,,,
Q08503,,,
P43546,GO:0006081,,GO:0047681
P43624,,GO:0016021,
Q8TGQ6,,,
A0A023PYD0,,GO:0016021,
O13513,,,
P38320,,GO:0016021,
P46991,,GO:0016021,
P53821,,,
Q8TGQ5,,,
P0C5L5,,,
Q04501,,GO:0016021,
Q6Q572,,,
A0A023PYJ0,,GO:0016021,
P46994,,,
P0CX92,,GO:0016021,
P0CX88,,,
P50078,GO:0032507;GO:1902413,GO:0005623;GO:0005933;GO:0033101;GO:0005935;GO:0005934;GO:0000131;GO:0016021,
O13531,,,
P25601,GO:0032197,GO:0000943,GO:0003887;GO:0008233;GO:0004540;GO:0003723;GO:0003964
Q03884,,GO:0016021,
P87280,,GO:0016021,
P36133,,,
P87271,,,
Q03051,,,
P47066,,,
Q8TGL3,,,
Q07509,,GO:0016021,
P53888,,,
P53245,,GO:0016021,
Q8TGQ2,,,
P0CL24,,,
P34238,,,
P53880,,GO:0016021,
P0CF17,GO:0045022;GO:1990126,GO:0005829;GO:0005769;GO:0005770;GO:0005886;GO:0030133;GO:0097422,GO:0005085;GO:0017137;GO:0000149
P53288,,GO:0016021,
Q6B0Y5,,GO:0016021,
Q6B2I9,,GO:0016021,
P38189,,GO:0016021,
P39557,,GO:0016021,
P0CL35,,GO:0016021,
P0CL29,,GO:0016021,
Q6B0W0,,GO:0016021,
P39549,GO:0016050,GO:0005737;GO:0005783;GO:0005794;GO:0016021;GO:0005886,
Q08219,GO:0030476,GO:0005619;GO:0016021;GO:0005811;GO:0005628,
P38712,GO:0000462;GO:0031167;GO:0006364,GO:0005730;GO:0005654;GO:0005634,GO:0005524;GO:0003723;GO:0008186;GO:0003724
P38629,GO:0007049;GO:0006261;GO:0006272;GO:0006298,GO:0031390;GO:0005829;GO:0005663;GO:0031391;GO:0005634;GO:0031389,GO:0016887;GO:0005524;GO:0003677
P54003,GO:0030437;GO:0030866;GO:0006897;GO:0031505;GO:0097446;GO:0032185,GO:0005938;GO:0071944;GO:0016021;GO:0045121;GO:0005739;GO:0005886,
O13579,,GO:0016021,
A0A023PYG5,,,
Q8TGP9,,GO:0016021,
P32795,GO:0007005;GO:0006457;GO:0045041;GO:0030150;GO:0051604;GO:0006515;GO:0006508,GO:0031942;GO:0005743;GO:0005739,GO:0005524;GO:0004176;GO:0046872;GO:0004222
P53190,,GO:0016021,
P0CF21,GO:0006520;GO:0006094,GO:0005737,GO:0003941;GO:0030170
Q8TGP5,,,
A0A023PYH0,,,
P0C5M4,,,
D6VPM8,GO:0016050,GO:0005783;GO:0005794;GO:0016021;GO:0005886,
P38362,,GO:0016021,
O13553,,,
P53098,,,
P47073,,,
P53213,,,
Q08498,,GO:0016021,
P53825,,GO:0016021,
P39548,GO:0016050,GO:0005783;GO:0000329;GO:0005794;GO:0016021;GO:0005886,
P38350,,,
P0C5S0,,,
P0CL25,,,
P87266,,GO:0016021,
P36050,,,
E2QC18,,,
O94143,GO:0000282,,
P47178,GO:0031505;GO:0015918,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0005199
