Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
Q04049,GO:0007059;GO:0006260;GO:0070987;GO:0042276;GO:0007064;GO:0009314,GO:0005739;GO:0005634;GO:0005657;GO:0035861,GO:0003684;GO:0003887;GO:0046872
P18963,GO:0007193;GO:0046580;GO:0043547;GO:0045761,GO:0016020;GO:0005739,GO:0005096
P36170,GO:0044182;GO:0000128;GO:0000501;GO:0001403,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0005537
P0CY11,GO:0007532,GO:0005634,GO:0043565;GO:0003714
P53224,GO:0090156;GO:0006672;GO:1900060;GO:0090155;GO:0006986,GO:0005623;GO:0005783;GO:0016021;GO:0035339,
P50108,GO:0007114;GO:0000032;GO:0000917;GO:0006487,GO:0000136;GO:0005783;GO:0005789;GO:0000139,GO:0000009
Q08522,GO:0030437;GO:0006312;GO:0045944,,
P47056,GO:0030476,GO:0000324;GO:0016021,
P40441,GO:0008645,GO:0016021,GO:0022857
P43603,GO:0051666;GO:0051017;GO:1900027,GO:0030479;GO:0005935;GO:0005737;GO:0005739;GO:0032587,GO:0051015;GO:0042802;GO:0035091
P39678,GO:0071931;GO:0000083,GO:0030907;GO:0000790;GO:0005634;GO:0033309,GO:0001228;GO:0043565
Q12405,GO:0019433,GO:0005782,GO:0004806
P36012,GO:0030543;GO:0051382;GO:0000070;GO:0061644;GO:0009303,GO:0005729;GO:0043505;GO:0000777;GO:0000780;GO:0000776;GO:0005634,GO:0019237;GO:0046982;GO:0043565
P35203,GO:0051382;GO:0000921,GO:0031518;GO:0000778,GO:0019237;GO:0008301
P40480,GO:0016575,GO:0034967,
P09932,GO:0000728;GO:0016539;GO:0007533,GO:0005634,GO:0003677;GO:0004519;GO:0046872
Q05549,GO:0032508;GO:0000733;GO:0006289,GO:0005634,GO:0043138;GO:0005524;GO:0003677;GO:0003723
P29468,GO:0006378;GO:0043631;GO:0071050,GO:0005847;GO:0005634,GO:0005524;GO:0000287;GO:0004652;GO:0003723
P53174,GO:0016192;GO:0016050,GO:0005783;GO:0005794;GO:0016021;GO:0005886,
P35845,GO:0006897;GO:0006887;GO:0030011;GO:0034727;GO:0015918,GO:0005829;GO:0005769;GO:0005783;GO:0000139;GO:0000138;GO:0043231;GO:0016020;GO:0005635;GO:0005640;GO:0071561,GO:0005545;GO:0008289;GO:0008142;GO:0032934;GO:0120015
P25847,GO:0030466;GO:0006310;GO:0036297;GO:0043570;GO:0006311;GO:0000710;GO:0006298;GO:0006312;GO:0045910;GO:0006301;GO:0000735;GO:0043111,GO:0032300;GO:0032301;GO:0032302;GO:0000228;GO:0005634,GO:0016887;GO:0005524;GO:0008094;GO:0000406;GO:0000400;GO:0030983
P38257,GO:0006974;GO:0006281;GO:0006265;GO:0006302;GO:0031573;GO:0007131;GO:0010520;GO:0031297;GO:0000712,GO:0048476;GO:0000790,GO:0003677;GO:0004519;GO:0046872
P06244,GO:0007049;GO:0051301;GO:0010607;GO:0018105;GO:0010737;GO:0006468;GO:0007265;GO:0016241,GO:0005952;GO:0005737;GO:0000790;GO:0005634,GO:0005524;GO:0004691;GO:0004672
Q12451,GO:0006897;GO:0035621;GO:0006887;GO:0030011;GO:0034727;GO:0015918,GO:0071944;GO:0005935;GO:0032541;GO:0005829;GO:0005783;GO:0043231;GO:0016020;GO:0005635;GO:0005886,GO:0005545;GO:0008289;GO:0008142;GO:0032934;GO:0120015
Q05080,GO:1903474;GO:0006974;GO:0000917;GO:1903475;GO:0000281;GO:0090339;GO:0031671;GO:1903476;GO:1903471,GO:0005826;GO:0120104;GO:0098753;GO:0005623;GO:0032153;GO:0005935;GO:0000142;GO:0000144;GO:0005737;GO:0005856;GO:0044697;GO:0120155;GO:0005886,GO:0008092;GO:0042802;GO:0005543
P40466,GO:0071406;GO:0006338;GO:0007535;GO:0031124;GO:2000221;GO:0034244;GO:0071930;GO:0090419;GO:0090055;GO:0032298;GO:1903468;GO:0090282;GO:0006357;GO:0006369,GO:0005829;GO:0005634,GO:0019237;GO:0003682;GO:0001228;GO:0000981;GO:0001227;GO:0003688;GO:0000978;GO:0043565
P38300,GO:0007007;GO:0070131;GO:0032979,GO:0005743;GO:0005739,GO:0097177
P31380,GO:0043044;GO:0006338;GO:0000183;GO:0030466;GO:0006348;GO:0000729;GO:0070869;GO:0070870;GO:0000122;GO:0042766;GO:0016584,GO:0000775;GO:0000781;GO:0031934;GO:0005739;GO:0005634,GO:0005524;GO:0003682;GO:0003677;GO:0008094;GO:0003678;GO:0042802
A0A023PXB5,,GO:0016021,
P53901,GO:1903474;GO:0051276;GO:0000281;GO:1990344,GO:0005623;GO:0000142;GO:0032154;GO:0005737;GO:0044697,GO:0030234
P53685,GO:0030466;GO:0016575;GO:0045950;GO:0070623;GO:0030435,GO:0005677;GO:0005737;GO:0000790;GO:0005720;GO:0031618;GO:0005724;GO:0005730;GO:0005634;GO:0034967,GO:0046872;GO:0070403;GO:0017136;GO:0046970;GO:0045129;GO:0016740
P38851,GO:0032366;GO:0045737,GO:0032541;GO:0005829;GO:0005789;GO:0016021;GO:0031966;GO:0005739;GO:0005886,GO:0016538;GO:0015248
Q12003,GO:0032889;GO:0006624,GO:0000329,GO:0005524;GO:0004674
Q07533,GO:1990344,GO:0005935;GO:0000142;GO:0005737;GO:0044697;GO:0005634,GO:0030234
P40569,GO:0097236,GO:0005634,GO:0043565;GO:0008270
Q07928,GO:0006357,,GO:0043565;GO:0008270
Q12315,GO:0006406;GO:0006397;GO:0016973;GO:0006446;GO:0006449;GO:0006409,GO:0005737;GO:0005739;GO:0031965;GO:0005643;GO:0044614,GO:0008047;GO:0000822;GO:0005543;GO:0031369
Q12479,GO:0006312,GO:0016021,
Q6B0V8,GO:0006312,GO:0016021,
P07267,GO:0006914;GO:0009267;GO:0032258;GO:0016237;GO:0016236;GO:0000425;GO:0030163;GO:0006508;GO:0051603;GO:0006624,GO:0005783;GO:0000324;GO:0005739;GO:0032991,GO:0004190;GO:0097718;GO:0070492;GO:0008233
P34756,GO:0046854,GO:0010008;GO:0000329;GO:0005739;GO:0070772,GO:0000285;GO:0005524;GO:0046872;GO:0032266
Q03254,GO:0070940;GO:0006357;GO:0006979,GO:0005829;GO:0005634,GO:0004722;GO:0008420
P10961,GO:0034605;GO:1904262;GO:0045944;GO:0061408;GO:0070202;GO:0006357;GO:0043555;GO:0009408,GO:0005739;GO:0005634;GO:0032993,GO:0003677;GO:0003700;GO:0000978;GO:0043565
P41813,GO:0006338;GO:0061186;GO:2000221;GO:0071930;GO:0090419;GO:0032298;GO:1903468;GO:0032968;GO:0090282,GO:0005829;GO:0005634,GO:0003682;GO:0003700;GO:0003688;GO:0001085;GO:0043565;GO:0003713;GO:0003712;GO:0000976
P30620,GO:0006281;GO:0006302;GO:0006303;GO:0036297;GO:0031848,GO:0000784;GO:0005634,GO:0035312;GO:0008409;GO:0003684;GO:0046872
P38075,GO:0009443;GO:0008615,GO:0005758,GO:0010181;GO:0004733
P53176,GO:0006888;GO:0015031;GO:0006890;GO:0016050,GO:0030663;GO:0005783;GO:0012507;GO:0005794;GO:0016021;GO:0005886,
P39552,GO:0015031;GO:0016192;GO:0016050,GO:0030663;GO:0005783;GO:0012507;GO:0005794;GO:0016021;GO:0005886,
P0CY08,GO:0001198,GO:0005634,GO:0008301;GO:0001227;GO:0043565
P41940,GO:0007049;GO:0000032;GO:0009298;GO:0006486,GO:0005737,GO:0005525;GO:0004475
P61830,GO:0006333;GO:0070911;GO:0009303;GO:0043935,GO:0043505;GO:0000788;GO:0005634;GO:0031298,GO:0003677;GO:0046982
P53187,GO:0007131;GO:0007129,GO:0000794,GO:0003690
Q99341,,GO:0005737;GO:0005634,
Q05164,GO:0031505,GO:0031225;GO:0071944;GO:0005576;GO:0009277,GO:0015926
Q04432,GO:0031669;GO:0034599;GO:0061077;GO:0019243,GO:0010494;GO:0000932,GO:0019172;GO:0044183
P43547,GO:0006081,,GO:0047681
Q08218,GO:0030476,GO:0005619;GO:0005633;GO:0005737;GO:0016021;GO:0005811;GO:0005628,
P24583,GO:0030242;GO:0032186;GO:0009272;GO:0035556;GO:0018105;GO:0010606;GO:0006468;GO:0060237;GO:0060211;GO:0007165,GO:0005935;GO:0005737;GO:0005856;GO:0005634;GO:0005886;GO:0032165;GO:0030427,GO:0005524;GO:0046872;GO:0004697;GO:0004674
