Entry,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (molecular function)
P00360,GO:0006094;GO:0006096,GO:0005829;GO:0009277;GO:0005811;GO:0005739;GO:0005886,GO:0004365;GO:0051287;GO:0050661
P53048,GO:0000017;GO:0046352;GO:0000023;GO:0015768;GO:0015771,GO:0005887,GO:0005352;GO:0005351;GO:0005364;GO:0015574
P28817,GO:0009083;GO:0032543,GO:0005763;GO:0005739,GO:0003860;GO:0003735
P40164,GO:0006974;GO:2000002;GO:1902660;GO:2001034;GO:0006470;GO:0072462,GO:0005634;GO:0030289,GO:0019888
A0A023PZI1,,,
P20095,GO:0000349;GO:0034247,GO:0005681;GO:0071006,GO:0005524;GO:0003723;GO:0008186;GO:0003724
P38830,GO:0051301;GO:0051321;GO:0045944,GO:0000228,GO:0003700;GO:0043565
P38996,GO:0071041;GO:0071034;GO:0031124;GO:0071028;GO:0031126;GO:0034472;GO:0030847;GO:0042780,GO:0005737;GO:0035649;GO:0005654;GO:0005634,GO:0003729;GO:0003723;GO:0001068
P38069,GO:0046354;GO:0006486;GO:0035268,GO:0005794;GO:0000139;GO:0016021,GO:0000026
P40534,GO:0000742,GO:0016021,
P32473,GO:0006086;GO:0006096,GO:0042645;GO:0005967;GO:0005739,GO:0004739
P49686,GO:0071472;GO:0031990;GO:0006607;GO:0016973;GO:0000973;GO:0000972,GO:0031965;GO:0005643;GO:0044613;GO:0044614;GO:0005634,GO:0017056;GO:0003714
P33329,GO:0006883,GO:0005623;GO:0005737;GO:0005634,GO:0048037;GO:0004724;GO:0046872;GO:0004722
P01149,GO:0007618;GO:0000750,GO:0005576,GO:1903135;GO:0000772
O14467,GO:0045944,GO:0005739;GO:0005634,GO:0003677;GO:0003713
P40051,GO:0016485;GO:0050821,GO:0031314;GO:0005739;GO:0005634,GO:0004177;GO:0030145;GO:0008237
P40850,GO:0006974;GO:0006281;GO:0044419,GO:0005737;GO:0010494;GO:0034399;GO:0000932;GO:0005844,GO:0017108;GO:0004520;GO:0048256
Q06005,GO:0009249,GO:0005739,GO:0016874;GO:0033819;GO:0102555
P47055,GO:0030476;GO:0051276,GO:0005829;GO:0016021,
P08018,GO:0007015;GO:0000187;GO:0032147;GO:0034605;GO:0006972;GO:0007231;GO:0006606;GO:0006468;GO:0046677;GO:0023014,GO:0005935;GO:0005934;GO:0005737;GO:0010494;GO:0031416,GO:0005524;GO:0004708;GO:0005078;GO:0004596;GO:0004672;GO:0004674;GO:0004713
P43124,GO:0006310;GO:0006281;GO:2001022;GO:0016925,GO:0005634;GO:0030915,
P19881,GO:0016311;GO:0046838;GO:0006470,GO:0005737;GO:0005634,GO:0004035;GO:0016791;GO:0008967;GO:0004721
P54199,GO:0007059;GO:0051304;GO:0033316;GO:0007094;GO:0018105;GO:0046777;GO:0034501;GO:0006468;GO:0051988;GO:0031134;GO:0051225;GO:0030474,GO:0000778;GO:0000776;GO:0005634;GO:0005819;GO:0005816,GO:0005524;GO:0043515;GO:0004672;GO:0004712;GO:0004674
P25569,GO:0045721;GO:0043161,GO:0005737;GO:0034657;GO:0005634,
P53338,GO:0044262;GO:0000023;GO:0006355;GO:0006351,GO:0005634,GO:0003677;GO:0003700;GO:0000981;GO:0008270
Q06436,GO:0045944,GO:0005737,GO:0046872;GO:0044212
P40857,GO:0030497;GO:0030148;GO:0007034;GO:0042761,GO:0005783;GO:0000324;GO:0000329;GO:0030176;GO:0042175,GO:0018812;GO:0102343;GO:0102344;GO:0102345;GO:0004300;GO:0102158
P07277,GO:0006696;GO:0010142;GO:0019287,GO:0005737;GO:0005829;GO:0005634,GO:0005524;GO:0000287;GO:0004496
Q08444,GO:0000469;GO:0030490;GO:0000462;GO:0043248;GO:0042274,GO:0005737;GO:0005783;GO:0005730;GO:0005634;GO:0030688,GO:0004521;GO:0046872;GO:0070181
Q05905,GO:0006612,GO:0005829;GO:0005789;GO:0005634,
P38794,GO:0007049;GO:0051301;GO:0043433;GO:0016242;GO:0031647,GO:0000307;GO:0005634,GO:0016538
P00560,GO:0006094;GO:0006096;GO:0055114;GO:1903862,GO:0005737;GO:0005829;GO:0005739;GO:0005886,GO:0043531;GO:0005524;GO:0004618
P38122,GO:0015940,GO:0005739,GO:0003864;GO:0000287
P50091,GO:0051099;GO:0016558,GO:0005737;GO:0005829;GO:0005778;GO:0005777,
Q99220,GO:0030968;GO:0030970;GO:0030433;GO:0097466,GO:0005783;GO:0005788;GO:0000839;GO:0034099,GO:0070492
P20457,GO:0006260;GO:0006269;GO:0006270;GO:0006302;GO:0006273,GO:0005658;GO:0005635;GO:0005634,GO:0051539;GO:0003677;GO:0003896;GO:0046872
Q8TGN9,GO:0042546;GO:0071555,GO:0071944;GO:0016021;GO:0005886,
P38126,GO:0042138;GO:0051598;GO:0007131,GO:0005694;GO:0005730,GO:0016887;GO:0005524
P32333,GO:0045892;GO:0042790;GO:0045898;GO:0006357;GO:0006364,GO:0005739;GO:0000228;GO:0005634,GO:0016887;GO:0005524;GO:0003677;GO:0008094;GO:0004386;GO:0017025
P17442,GO:0006629;GO:0006796,GO:0005737;GO:0005829;GO:0005634,GO:0004861;GO:0008081
Q01926,GO:0015693;GO:0045016,GO:0016021;GO:0005743;GO:0005739,GO:0015095
P52891,GO:0006974;GO:0030466;GO:0006302;GO:0035392;GO:0006406;GO:0031990;GO:0031081;GO:0045893;GO:0045944;GO:0000973;GO:0006606;GO:0034398,GO:0000781;GO:0031965;GO:0005643;GO:0031080,GO:0042802;GO:0017056
P53949,,GO:0005737,GO:0004725
